BTA_Ammo_Rare_1,,,
Ammo_AmmunitionBox_Generic_ArrowIV,AmmunitionBox,1,7
Ammo_AmmunitionBox_Fascam_ArrowIV,AmmunitionBox,1,4
Ammo_AmmunitionBox_Nuke_ArrowIV,AmmunitionBox,1,1
Ammo_AmmunitionBox_Inferno_ArrowIV,AmmunitionBox,1,5
Ammo_AmmunitionBox_Generic_Longtom,AmmunitionBox,1,7
Ammo_AmmunitionBox_Shaped_Longtom,AmmunitionBox,1,9
Ammo_AmmunitionBox_Inferno_Longtom,AmmunitionBox,1,8
Ammo_AmmunitionBox_Generic_Sniper,AmmunitionBox,1,7
Ammo_AmmunitionBox_Shaped_Sniper,AmmunitionBox,1,4
Ammo_AmmunitionBox_Generic_Thumper,AmmunitionBox,1,7
Ammo_AmmunitionBox_Shaped_Thumper,AmmunitionBox,1,5
Ammo_AmmunitionBox_Fascam_Thumper,AmmunitionBox,1,4
Ammo_AmmunitionBox_AP_AC10,AmmunitionBox,1,6
Ammo_AmmunitionBox_AP_AC2,AmmunitionBox,1,6
Ammo_AmmunitionBox_AP_AC20,AmmunitionBox,1,6
Ammo_AmmunitionBox_AP_AC5,AmmunitionBox,1,6
Ammo_AmmunitionBox_Caseless_AC10,AmmunitionBox,1,6
Ammo_AmmunitionBox_Caseless_AC2,AmmunitionBox,1,6
Ammo_AmmunitionBox_Caseless_AC20,AmmunitionBox,1,6
Ammo_AmmunitionBox_Caseless_AC5,AmmunitionBox,1,6
Ammo_AmmunitionBox_Precision_AC10,AmmunitionBox,1,6
Ammo_AmmunitionBox_Precision_AC2,AmmunitionBox,1,6
Ammo_AmmunitionBox_Precision_AC20,AmmunitionBox,1,6
Ammo_AmmunitionBox_Precision_AC5,AmmunitionBox,1,6
Ammo_AmmunitionBox_ArtemisIV_LRM,AmmunitionBox,1,7
Ammo_AmmunitionBox_Deadfire_LRM,AmmunitionBox,1,7
Ammo_AmmunitionBox_ER_LRM,AmmunitionBox,1,7
Ammo_AmmunitionBox_FTL_LRM,AmmunitionBox,1,5
Ammo_AmmunitionBox_Swarm_LRM,AmmunitionBox,1,7
Ammo_AmmunitionBox_Thunder_LRM,AmmunitionBox,1,7
Ammo_AmmunitionBox_LBX_SLUG_AC10,AmmunitionBox,1,8
Ammo_AmmunitionBox_LBX_SLUG_AC2,AmmunitionBox,1,7
Ammo_AmmunitionBox_LBX_SLUG_AC20,AmmunitionBox,1,7
Ammo_AmmunitionBox_LBX_SLUG_AC5,AmmunitionBox,1,7
Ammo_AmmunitionBox_AP_MG,AmmunitionBox,1,6
Ammo_AmmunitionBox_HE_MG,AmmunitionBox,1,6
Ammo_AmmunitionBox_Generic_GAUSS,AmmunitionBox,1,9
Ammo_AmmunitionBox_Generic_SBGAUSS,AmmunitionBox,1,7
Ammo_AmmunitionBox_Generic_MAGSHOT,AmmunitionBox,1,5
Ammo_AmmunitionBox_Guided_Mortar,AmmunitionBox,1,7
Ammo_AmmunitionBox_Inferno_Mortar,AmmunitionBox,1,7
Ammo_AmmunitionBox_Guided_Mortar_half,AmmunitionBox,1,5
Ammo_AmmunitionBox_Inferno_Mortar_half,AmmunitionBox,1,5
Ammo_AmmunitionBox_Generic_Mortar,AmmunitionBox,1,9
Ammo_AmmunitionBox_Generic_Mortar_half,AmmunitionBox,1,9
